,frame_seq,m1,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,e1,e2,e3,b1,b2,b3,label_measures
10,10,24.020824298928627,128.2497563350512,11.04536101718726,23.08679276123039,35.05709628591621,38.05259518088089,20.09975124224178,78.23042886243178,55.14526271584895,43.0,29.0,37.0,13.0,45.0,20.0,2.0,11.40175425099138,12.041594578792296,12.0,55.0,44.0,52.15361924162119,"{'smile': ['m3', 'm12']}"
11,11,23.08679276123039,130.24592124131948,11.04536101718726,23.08679276123039,35.05709628591621,39.05124837953327,20.024984394500787,77.23341245859851,54.147945482723536,42.5,29.0,37.0,13.0,44.0,19.0,2.0,12.16552506059644,12.041594578792296,12.5,54.0,43.0,52.15361924162119,"{'smile': ['m3', 'm12']}"
12,12,23.08679276123039,133.24038426843418,11.04536101718726,23.08679276123039,36.05551275463989,38.05259518088089,21.02379604162864,78.23042886243178,55.14526271584895,43.5,29.0,37.0,12.0,45.0,20.0,1.0,12.36931687685298,13.038404810405298,12.5,53.0,43.0,52.15361924162119,"{'smile': ['m3', 'm12']}"
13,13,24.08318915758459,135.09256086106296,12.041594578792296,23.08679276123039,36.013886210738214,38.01315561749642,20.024984394500787,79.22752047110903,56.1426753904728,44.0,31.0,36.0,13.5,45.5,20.5,1.5,13.152946437965904,12.0,12.0,53.0,44.0,51.0881590977792,"{'smile': ['m3', 'm12']}"
14,14,24.08318915758459,136.03308421115798,13.038404810405298,24.020824298928627,36.013886210738214,39.0,22.02271554554524,83.15046602394962,59.13543776789008,47.0,36.0,39.0,15.5,45.5,20.5,3.5,12.16552506059644,12.0,12.0,52.0,46.0,53.03772242470448,"{'smile': ['m3', 'm12']}"
15,15,29.017236257093817,135.0,13.038404810405298,23.021728866442675,36.0,39.0,22.02271554554524,87.09190547921202,64.07027391856539,49.5,39.0,39.0,17.0,48.0,24.0,5.0,11.04536101718726,11.0,11.0,52.0,48.0,54.037024344425184,"{'smile': ['m3', 'm12']}"
16,16,31.016124838541646,135.0148140020198,14.0,25.019992006393608,36.0,39.01281840626232,22.09072203437452,92.0869154657707,67.06713054842886,51.5,44.0,42.0,21.0,49.0,24.0,8.0,10.04987562112089,11.0,10.5,51.0,48.0,53.009433122794285,"{'smile': ['m3', 'm12']}"
17,17,34.0147027033899,135.09256086106296,13.0,25.019992006393608,36.0,40.049968789001575,23.021728866442675,95.00526301210895,70.02856560004639,53.0,47.0,42.0,21.5,50.5,25.5,9.5,11.04536101718726,10.0,10.0,49.0,48.0,52.009614495783374,"{'smile': ['m3', 'm12']}"
18,18,36.0,135.09256086106296,13.038404810405298,23.0,35.0,39.05124837953327,22.02271554554524,94.02127418834527,71.02816342831905,53.0,47.0,42.0,22.5,49.5,26.5,10.5,10.04987562112089,11.0,10.5,50.0,50.0,54.0,"{'smile': ['m3', 'm12']}"
19,19,36.0,136.09188072769072,13.038404810405298,23.0,35.0142828000232,39.05124837953327,22.0,94.00531899844816,71.00704190430693,53.0,46.0,41.0,21.5,50.5,27.5,10.5,11.0,11.0,10.5,48.0,50.0,54.0,"{'smile': ['m3', 'm12']}"
20,20,35.0,135.09256086106296,13.0,23.0,35.0142828000232,38.05259518088089,22.02271554554524,93.00537618869136,70.00714249274856,52.5,46.0,41.0,21.5,49.5,26.5,9.5,10.04987562112089,10.0,10.0,47.0,49.0,52.009614495783374,"{'smile': ['m3', 'm12']}"
21,21,34.0,135.18135966175217,13.0,23.021728866442675,36.013886210738214,39.05124837953327,22.0,92.00543462209176,69.0,52.0,47.0,40.0,21.5,48.5,25.5,10.5,8.0,8.0,8.0,47.0,49.0,52.009614495783374,"{'smile': ['m3', 'm12']}"
22,22,35.0,133.09395177843356,12.0,22.0,37.05401462729781,40.049968789001575,23.0,92.0,70.0,52.5,45.0,40.0,19.5,49.5,26.5,9.5,3.0,4.0,4.0,48.0,50.0,52.009614495783374,"{'smile': ['m3', 'm12']}"
23,23,34.0,133.13526955694348,12.0,22.0,36.013886210738214,40.049968789001575,22.0,90.0,68.0,51.0,45.0,39.0,20.0,48.0,26.0,9.0,3.0,4.0,4.0,48.0,50.0,51.0098029794274,"{'smile': ['m3', 'm12']}"
24,24,32.0,133.09395177843356,12.0,23.0,36.013886210738214,40.049968789001575,21.0,88.0,65.0,49.0,42.0,37.0,18.5,48.5,25.5,7.5,4.123105625617661,4.0,4.0,48.0,48.0,51.0,"{'smile': ['m3', 'm12']}"
25,25,32.0,131.0953851209111,12.0,22.0,36.013886210738214,39.05124837953327,22.02271554554524,88.0056816347672,66.007575322837,50.0,42.0,37.0,17.5,48.5,25.5,7.5,5.0990195135927845,5.0,5.0,47.0,48.0,51.0,"{'smile': ['m3', 'm12']}"
26,26,31.0,129.0620006043607,12.0,21.0,35.0,39.01281840626232,21.0,85.0,64.0,48.5,39.0,35.0,16.0,48.0,26.0,5.0,7.071067811865476,7.0,7.0,46.0,47.0,49.01020301937138,"{'smile': ['m3', 'm12']}"
27,27,32.0,128.03515142334936,11.0,20.024984394500787,35.0142828000232,39.01281840626232,22.0,85.00588214941364,65.0,49.0,39.0,36.0,15.5,47.5,26.5,5.5,7.071067811865476,7.0,7.0,46.0,46.0,51.0098029794274,"{'smile': ['m3', 'm12']}"
28,28,31.0,129.0620006043607,11.0,20.024984394500787,35.0,38.01315561749642,21.02379604162864,83.0,63.00793600809346,47.5,37.0,33.0,14.0,48.0,27.0,4.0,9.0,8.0,8.5,45.0,46.0,50.00999900019995,"{'smile': ['m3', 'm12']}"
29,29,29.0,126.09916732476864,12.0,21.02379604162864,34.0147027033899,37.05401462729781,21.02379604162864,83.02409288875127,62.00806399170998,47.5,37.0,32.0,13.5,48.5,26.5,3.5,9.055385138137416,10.0,9.5,45.0,46.0,50.00999900019995,"{'smile': ['m3', 'm12']}"
30,30,28.0178514522438,123.10158406779338,10.0,21.0,33.015148038438355,35.0142828000232,22.0,81.00617260431454,60.00833275470999,46.0,37.0,32.0,12.5,46.5,24.5,4.5,9.055385138137416,10.04987562112089,9.5,46.0,47.0,48.0,"{'smile': ['m3', 'm12']}"
31,31,26.019223662515376,121.10326172320876,11.0,22.0,33.015148038438355,36.013886210738214,22.0,81.00617260431454,59.00847396772772,46.0,38.0,33.0,13.5,45.5,22.5,4.5,10.04987562112089,10.04987562112089,10.0,46.0,47.0,48.0,"{'smile': ['m3', 'm12']}"
32,32,27.0,118.06777714516352,10.0,21.02379604162864,31.016124838541646,34.0147027033899,22.0,80.00624975587844,59.0,45.5,38.0,34.0,14.0,44.0,23.0,5.0,9.055385138137416,10.0,9.5,46.0,47.0,50.0,"{'smile': ['m3', 'm12']}"
33,33,27.0,117.1067888723792,9.055385138137416,18.0,30.01666203960727,33.06055050963308,23.021728866442675,77.0,59.0,45.5,38.0,33.0,12.5,41.5,22.5,4.5,10.04987562112089,9.055385138137416,9.5,46.0,47.0,50.00999900019995,"{'smile': ['m3', 'm12']}"
34,34,17.029386365926403,113.07077429645558,11.04536101718726,23.021728866442675,28.0,32.01562118716424,23.021728866442675,74.0,51.0098029794274,42.5,37.0,33.0,12.0,39.0,15.0,2.0,9.055385138137416,10.0,9.5,45.0,46.0,49.01020301937138,"{'smile': ['m3', 'm12']}"
35,35,13.0,111.04053313993047,12.0,23.0,27.018512172212592,30.01666203960727,24.020824298928627,72.00694410957877,49.01020301937138,42.5,37.0,34.0,11.5,36.5,13.5,1.5,10.04987562112089,10.0,10.0,45.0,47.0,48.010415536631214,"{'smile': ['m3', 'm12']}"
36,36,10.04987562112089,110.04090148667449,12.041594578792296,23.0,28.0,31.016124838541646,25.019992006393608,70.00714249274856,47.01063709417264,42.0,37.0,34.0,10.5,34.5,11.5,0.5,10.04987562112089,10.0,9.5,45.0,47.0,48.010415536631214,"{'smile': ['m3', 'm12']}"
37,37,5.0,108.0185169311262,13.0,20.024984394500787,27.018512172212592,29.0,29.0,67.00746227100382,47.0,44.5,36.0,34.0,6.0,32.0,11.0,5.0,11.04536101718726,11.0,11.0,46.0,46.0,47.0,"{'smile': ['m3', 'm12']}"
38,38,2.23606797749979,108.00462953040486,13.0,19.0,28.0,30.0,28.0,62.00806399170998,43.01162633521314,42.0,35.0,34.0,6.5,27.5,7.5,5.5,11.04536101718726,11.04536101718726,11.0,45.0,46.0,48.010415536631214,"{'smile': ['m3', 'm12']}"
39,39,1.0,106.01886624558855,13.0,19.026297590440446,26.0,29.017236257093817,28.0178514522438,60.00833275470999,41.0,41.0,35.0,33.0,6.0,26.0,7.0,6.0,11.0,11.04536101718726,11.0,46.0,46.0,48.010415536631214,{}
40,40,1.0,107.00467279516349,13.0,19.0,27.0,29.0,27.0,59.00847396772772,40.01249804748511,40.0,34.0,33.0,6.5,25.5,5.5,5.5,11.04536101718726,11.0,11.0,45.0,46.0,48.010415536631214,{}
41,41,1.0,107.00467279516349,13.038404810405298,19.0,27.0,29.017236257093817,27.018512172212592,58.0,39.0,39.5,34.0,33.0,6.5,24.5,4.5,5.5,11.04536101718726,11.04536101718726,11.0,46.0,46.0,48.010415536631214,{}
42,42,1.0,107.00467279516349,13.038404810405298,20.0,27.0,29.0,28.0178514522438,60.0,40.0,40.5,35.0,34.0,6.5,25.5,5.5,5.5,10.04987562112089,11.04536101718726,11.0,47.0,47.0,48.0,{}
