text,start,duration,video_id
WEEKS,24.48,6.0,CwjV6MDU9E8
THIS IS A PANDEMIC OF THE UNVACCINATED,26.08,6.8,CwjV6MDU9E8
AND IT'S CAUSED BY THE FACT THAT DESPITE,30.48,4.56,CwjV6MDU9E8
AMERICA HAVING UNPRECEDENTED AND,32.88,4.64,CwjV6MDU9E8
SUCCESSFUL VACCINATION PROGRAM,35.04,4.8,CwjV6MDU9E8
DESPITE THE FACT THAT FOR ALMOST FIVE,37.52,3.6,CwjV6MDU9E8
MONTHS,39.84,4.16,CwjV6MDU9E8
FREE VACCINES HAVE BEEN AVAILABLE IN 80,41.12,5.279,CwjV6MDU9E8
000 DIFFERENT LOCATIONS,44.0,4.16,CwjV6MDU9E8
WE STILL HAVE NEARLY 80 MILLION,46.399,3.68,CwjV6MDU9E8
AMERICANS WHO HAVE FAILED TO GET THE,48.16,3.44,CwjV6MDU9E8
SHOT,50.079,3.201,CwjV6MDU9E8
TO MAKE MATTERS WORSE,51.6,3.52,CwjV6MDU9E8
THERE ARE ELECTED OFFICIALS,53.28,3.919,CwjV6MDU9E8
ACTIVELY WORKING TO UNDERMINE THE FIGHT,55.12,4.48,CwjV6MDU9E8
AGAINST COVET 19.,57.199,4.16,CwjV6MDU9E8
INSTEAD OF ENCOURAGING PEOPLE TO GET,59.6,3.68,CwjV6MDU9E8
VACCINATED IN A MASK UP,61.359,4.481,CwjV6MDU9E8
THEY'RE ORDERING MOBILE MORGUES,63.28,4.96,CwjV6MDU9E8
FOR THE UNVACCINATED DYING FROM COVEN IN,65.84,4.0,CwjV6MDU9E8
THEIR COMMUNITIES,68.24,4.16,CwjV6MDU9E8
THIS IS TOTALLY UNACCEPTABLE,69.84,6.08,CwjV6MDU9E8
THE UNVACCINATED OVERCROWD OUR HOSPITALS,72.4,5.2,CwjV6MDU9E8
ARE OVERRUNNING EMERGENCY ROOMS AND,75.92,3.44,CwjV6MDU9E8
INTENSIVE CARE UNITS,77.6,4.08,CwjV6MDU9E8
LEAVING NO ROOM FOR SOMEONE WITH A HEART,79.36,6.0,CwjV6MDU9E8
ATTACK OR PANCREATITIS OR CANCER AND A,81.68,6.24,CwjV6MDU9E8
DISTINCT MINORITY OF AMERICANS SUPPORTED,85.36,5.04,CwjV6MDU9E8
BY A STINK MINORITY OF ELECTED OFFICIALS,87.92,5.76,CwjV6MDU9E8
ARE KEEPING US FROM TURNING THE CORNER,90.4,5.84,CwjV6MDU9E8
THESE PANDEMIC POLITICS AS I REFER TO,93.68,3.28,CwjV6MDU9E8
ARE,96.24,2.96,CwjV6MDU9E8
MAKING PEOPLE SICK,96.96,5.28,CwjV6MDU9E8
CAUSING UNVACCINATED PEOPLE TO DIE,99.2,5.68,CwjV6MDU9E8
WE CANNOT ALLOW THESE ACTIONS,102.24,4.32,CwjV6MDU9E8
TO STAND IN THE WAY OF PROTECTING THE,104.88,3.919,CwjV6MDU9E8
LARGE MAJORITY OF AMERICANS WHO HAVE,106.56,3.839,CwjV6MDU9E8
DONE THEIR PART,108.799,3.841,CwjV6MDU9E8
I WANT TO GET BACK TO LIFE AS NORMAL,110.399,4.241,CwjV6MDU9E8
THIS IS NOT ABOUT FREEDOM,112.64,4.079,CwjV6MDU9E8
OR PERSONAL CHOICE,114.64,4.56,CwjV6MDU9E8
IT'S ABOUT PROTECTING YOURSELF AND THOSE,116.719,3.841,CwjV6MDU9E8
AROUND YOU,119.2,3.279,CwjV6MDU9E8
THE PEOPLE YOU WORK WITH,120.56,4.159,CwjV6MDU9E8
THE PEOPLE YOU CARE ABOUT THE PEOPLE YOU,122.479,4.161,CwjV6MDU9E8
LOVE,124.719,4.801,CwjV6MDU9E8
MY JOB AS PRESIDENT IS TO PROTECT ALL,126.64,4.239,CwjV6MDU9E8
AMERICANS,129.52,2.799,CwjV6MDU9E8
SO TONIGHT,130.879,3.121,CwjV6MDU9E8
I'M ANNOUNCING THAT THE DEPARTMENT OF,132.319,2.881,CwjV6MDU9E8
LABOR,134.0,3.68,CwjV6MDU9E8
IS DEVELOPING AN EMERGENCY RULE,135.2,4.88,CwjV6MDU9E8
TO REQUIRE ALL EMPLOYERS,137.68,5.04,CwjV6MDU9E8
WITH 100 OR MORE EMPLOYEES,140.08,4.96,CwjV6MDU9E8
THAT TOGETHER EMPLOY OVER 80 MILLION,142.72,3.84,CwjV6MDU9E8
WORKERS,145.04,4.4,CwjV6MDU9E8
TO ENSURE THEIR WORKFORCES,146.56,5.52,CwjV6MDU9E8
ARE FULLY VACCINATED,149.44,5.12,CwjV6MDU9E8
OR SHOW A NEGATIVE TEST AT LEAST ONCE A,152.08,5.2,CwjV6MDU9E8
WEEK SOME OF THE BIGGEST COMPANIES ARE,154.56,6.16,CwjV6MDU9E8
ALREADY REQUIRING THIS THE BOTTOM LINE,157.28,5.2,CwjV6MDU9E8
WE'RE GOING TO PROTECT VACCINATED,160.72,4.56,CwjV6MDU9E8
WORKERS FROM UNVACCINATED CO-WORKERS,162.48,4.32,CwjV6MDU9E8
WE'RE GOING TO REDUCE THE SPREAD OF,165.28,4.239,CwjV6MDU9E8
COVET 19 BY INCREASING THE SHARE OF THE,166.8,5.12,CwjV6MDU9E8
WORKFORCE THAT IS VACCINATED IN,169.519,4.561,CwjV6MDU9E8
BUSINESSES ALL ACROSS AMERICA I WILL,171.92,4.08,CwjV6MDU9E8
SIGN AN EXECUTIVE ORDER,174.08,4.48,CwjV6MDU9E8
THAT WILL NOW REQUIRE ALL EXECUTIVE,176.0,4.159,CwjV6MDU9E8
BRANCH FEDERAL EMPLOYEES TO BE,178.56,4.08,CwjV6MDU9E8
VACCINATED ALL,180.159,4.16,CwjV6MDU9E8
I'VE SIGNED ANOTHER EXECUTIVE ORDER THAT,182.64,4.16,CwjV6MDU9E8
WILL REQUIRE FEDERAL CONTRACTORS,184.319,3.84,CwjV6MDU9E8
TO DO THE SAME,186.8,2.799,CwjV6MDU9E8
IF YOU WANT TO WORK WITH THE FEDERAL,188.159,3.681,CwjV6MDU9E8
GOVERNMENT AND DO BUSINESS WITH US GET,189.599,4.161,CwjV6MDU9E8
VACCINATED,191.84,3.2,CwjV6MDU9E8
IF YOU WANT TO DO BUSINESS WITH THE,193.76,3.28,CwjV6MDU9E8
FEDERAL GOVERNMENT VACCINATE YOUR,195.04,3.839,CwjV6MDU9E8
WORKFORCE,197.04,3.44,CwjV6MDU9E8
AND TONIGHT,198.879,3.44,CwjV6MDU9E8
I'M REMOVING ONE OF THE LAST REMAINING,200.48,3.839,CwjV6MDU9E8
OBSTACLES THAT MAKE IT DIFFICULT FOR YOU,202.319,3.92,CwjV6MDU9E8
TO GET VACCINATED,204.319,4.48,CwjV6MDU9E8
THE DEPARTMENT OF LABOR WILL REQUIRE,206.239,5.841,CwjV6MDU9E8
EMPLOYERS WITH 100 OR MORE WORKERS TO,208.799,6.08,CwjV6MDU9E8
GIVE THOSE WORKERS PAID TIME OFF TO GET,212.08,4.64,CwjV6MDU9E8
VACCINATED,214.879,3.681,CwjV6MDU9E8
NO ONE SHOULD LOSE PAY,216.72,3.68,CwjV6MDU9E8
IN ORDER TO GET VACCINATED OR TAKE A,218.56,5.48,CwjV6MDU9E8
LOVED ONE TO GET VACCINATED,220.4,3.64,CwjV6MDU9E8
YOU,226.4,2.08,CwjV6MDU9E8
HELLO MY NAME IS KERSTIN FREEMAN I'M,0.89,4.36,oa1QJL7tv4g
ORIGINALLY FROM DENVER COLORADO BO'S,3.51,3.24,oa1QJL7tv4g
RAISED RIGHT HERE IN KNOXVILLE TENNESSEE,5.25,3.96,oa1QJL7tv4g
TODAY I'LL BE SHARING A LITTLE BIT MORE,6.75,4.139,oa1QJL7tv4g
ABOUT MY BACKGROUND MY INTERESTS AND,9.21,3.839,oa1QJL7tv4g
HOBBIES AND MY PLANS FOR THE FUTURE,10.889,4.41,oa1QJL7tv4g
AS I MENTIONED BEFORE I WAS RAISED IN,13.049,4.621,oa1QJL7tv4g
KNOXVILLE MY ELEMENTARY MIDDLE AND HIGH,15.299,4.23,oa1QJL7tv4g
SCHOOL ARE ALL WITHIN A 15-MILE RADIUS,17.67,4.439,oa1QJL7tv4g
OF THE UNIVERSITY OF TENNESSEE I'VE BEEN,19.529,4.381,oa1QJL7tv4g
PLAYING SPORTS SINCE I WAS SIX YEARS OLD,22.109,3.571,oa1QJL7tv4g
WHICH WAS A CRUCIAL PART OF MY CHILDHOOD,23.91,4.02,oa1QJL7tv4g
AND HELPED ME BECOME WHO I AM TODAY I'M,25.68,4.47,oa1QJL7tv4g
ALSO A VERY COMPETITIVE PERSON,27.93,3.99,oa1QJL7tv4g
THIS HELPED BRING THE SENSE OF,30.15,3.96,oa1QJL7tv4g
SELFLESSNESS AT A VERY YOUNG AGE BECAUSE,31.92,5.22,oa1QJL7tv4g
I WAS GOING TO SACRIFICE ANYTHING TO WIN,34.11,5.789,oa1QJL7tv4g
GAMES AND THAT REACH MY DESIRED END,37.14,5.82,oa1QJL7tv4g
RESULT THIS SENSE OF SELFLESSNESS WOULD,39.899,4.98,oa1QJL7tv4g
HELP ME IN THE FUTURE WHEN I BECAME MORE,42.96,4.68,oa1QJL7tv4g
INTERESTED IN SERVICE CLUBS MY INTEREST,44.879,4.831,oa1QJL7tv4g
IN ENTERING THE SERVICE GROUPS ONLY,47.64,4.079,oa1QJL7tv4g
INCREASES I WOULD THROUGHOUT SCHOOL BY,49.71,3.93,oa1QJL7tv4g
MY SENIOR IN HIGH SCHOOL THIS INTRIGUE,51.719,4.561,oa1QJL7tv4g
HAD TURNED INTO PASSION I WAS INVOLVED,53.64,5.009,oa1QJL7tv4g
WITH FIVE SERVICE CLUBS WITHIN MY SCHOOL,56.28,4.68,oa1QJL7tv4g
AS WELL AS TWO OTHER IN THE COMMUNITY I,58.649,6.031,oa1QJL7tv4g
RECEIVED MOST SCHOOLS SERVICE PRINCIPALS,60.96,6.15,oa1QJL7tv4g
AWARD A SERVICE OF HUMANITIES AWARD AND,64.68,5.22,oa1QJL7tv4g
OTHER RECOGNITIONS GIVEN TO ME BY MY,67.11,5.189,oa1QJL7tv4g
SCHOOL AS WELL AS MY COMMUNITY FOR MY,69.9,4.74,oa1QJL7tv4g
EFFORTS AND PASSION IN SCHOOL AND,72.299,4.831,oa1QJL7tv4g
COMMUNITY SERVICE LASTLY I WOULD LIKE TO,74.64,3.99,oa1QJL7tv4g
SHARE MY PLANS FOR THE FUTURE,77.13,3.87,oa1QJL7tv4g
I'M A HISTORY MAJOR WITH A MINOR IN,78.63,5.16,oa1QJL7tv4g
SECONDARY EDUCATION I PLAN ON BECOMING A,81.0,5.4,oa1QJL7tv4g
HISTORY TEACHER AND PARTICIPATING IN THE,83.79,4.829,oa1QJL7tv4g
TEACHERS FOR AMERICA PROGRAM WHICH,86.4,5.52,oa1QJL7tv4g
COMBINES MY LOVE OF HISTORY TEACHING AND,88.619,5.761,oa1QJL7tv4g
HELPING OTHERS MY END GOAL HOWEVER IT'S,91.92,4.62,oa1QJL7tv4g
BECOME A HIGH SCHOOL PRINCIPAL IN THIS,94.38,4.199,oa1QJL7tv4g
POSITION I WOULD LOVE TO REMAIN HEAVILY,96.54,4.289,oa1QJL7tv4g
INVOLVED WITH STUDENT LIFE SO TODAY I,98.579,4.981,oa1QJL7tv4g
SHARED WITH YOU A LITTLE BIT MORE ABOUT,100.829,5.07,oa1QJL7tv4g
MYSELF MY INTERESTS AND HOBBIES AND,103.56,7.37,oa1QJL7tv4g
FINALLY MY PRINCIPAL FUTURE THANK YOU,105.899,5.031,oa1QJL7tv4g
WHAT IS THE BEST WAY TO INTRODUCE,0.06,6.36,mE45MLeTUOw
YOURSELF AT JOB INTERVIEWS YOUR,2.73,5.789,mE45MLeTUOw
SELF-INTRODUCTION IS A GREAT CHANCE TO,6.42,4.95,mE45MLeTUOw
GIVE AN EXCELLENT FIRST IMPRESSION AND I,8.519,5.461,mE45MLeTUOw
HAVE DEVELOPED A FORMULA TO HELP YOU ACE,11.37,6.09,mE45MLeTUOw
THIS OPPORTUNITY IT IS CALLED THE RULE,13.98,7.02,mE45MLeTUOw
OF THREE TWENTIES THAT IS A ONE MINUTE,17.46,6.479,mE45MLeTUOw
INTRODUCTION SPLIT INTO THREE TWENTY,21.0,7.32,mE45MLeTUOw
SECOND PARTS PART ONE TALK ABOUT YOUR,23.939,7.28,mE45MLeTUOw
RELEVANT HISTORY THAT IS YOUR CAREER,28.32,5.94,mE45MLeTUOw
EDUCATIONAL AND PERSONAL INTERESTS AND,31.219,5.411,mE45MLeTUOw
HOW THEY RELATE TO THE ROLE YOU ARE,34.26,6.569,mE45MLeTUOw
GOING FOR PART TWO TALK ABOUT WHAT YOU,36.63,6.96,mE45MLeTUOw
ARE DOING NOW EXPLAIN YOUR CURRENT ROLE,40.829,6.511,mE45MLeTUOw
AND A BIG ACHIEVEMENT IN IT AND FINALLY,43.59,6.92,mE45MLeTUOw
PART THREE TALK ABOUT YOUR FUTURE PLAN,47.34,5.609,mE45MLeTUOw
EXPLAIN HOW WHAT YOU'RE DOING NOW AND,50.51,5.26,mE45MLeTUOw
WHAT YOU DID IN THE PAST WILL LEAD TO,52.949,6.5,mE45MLeTUOw
YOU ACHIEVING YOUR GOALS,55.77,3.679,mE45MLeTUOw
WHILE IT'S IMPORTANT TO REVIEW YOUR OWN,3.2,4.0,_uiqV7p3fwM
WORK HISTORY BEFORE GOING INTO AN,5.49,3.48,_uiqV7p3fwM
INTERVIEW IT'S JUST AS CRITICAL TO,7.2,3.75,_uiqV7p3fwM
REVIEW HOW TO ANSWER INTERVIEW QUESTIONS,8.97,4.44,_uiqV7p3fwM
PROPERLY BEFORE DOING SO AS WELL THE,10.95,3.78,_uiqV7p3fwM
INTERVIEWER IS KIND OF GET TO KNOW YOU,13.41,3.33,_uiqV7p3fwM
SO DON'T MAKE SOME DIGS FOR ANSWERS,14.73,4.02,_uiqV7p3fwM
NEVER ANSWER A QUESTION WITH JUST A,16.74,2.879,_uiqV7p3fwM
SIMPLE YES-OR-NO,18.75,2.73,_uiqV7p3fwM
EVEN IF SOMEONE DOESN'T ASK FOR A,19.619,4.021,_uiqV7p3fwM
SPECIFIC EXAMPLE ALWAYS TRY TO PROVIDE,21.48,4.77,_uiqV7p3fwM
ONE WHEREVER YOU CAN ANYONE CAN SAY THAT,23.64,5.43,_uiqV7p3fwM
I'M VERY ORGANIZED OR THEY WORK WELL,26.25,4.59,_uiqV7p3fwM
UNDER PROJECT BUT JUST BECAUSE YOU SAY,29.07,3.45,_uiqV7p3fwM
IT DOESN'T NECESSARILY MEAN IT'S TRUE,30.84,3.75,_uiqV7p3fwM
ALWAYS TRY TO GIVE AN EXAMPLE THAT,32.52,3.809,_uiqV7p3fwM
EXEMPLIFIES THOSE ATTRIBUTES THAT YOU'RE,34.59,3.12,_uiqV7p3fwM
SPEAKING OF OF COURSE THERE'S GOING TO,36.329,3.031,_uiqV7p3fwM
BE TIMES WHERE YOU'RE ASKED SPECIFIC,37.71,3.779,_uiqV7p3fwM
BEHAVIORAL BASED QUESTIONS AN EXAMPLE,39.36,4.32,_uiqV7p3fwM
THAT MIGHT BE A DIFFICULT NEGOTIATION,41.489,3.871,_uiqV7p3fwM
YOU HAVE WITH CLIENT WHERE YOU HAVE TO,43.68,4.23,_uiqV7p3fwM
PERSUADE THEM TO AGREE TO YOUR TURN WHEN,45.36,4.109,_uiqV7p3fwM
ANSWERING A QUESTION LIKE THAT YOU WANT,47.91,3.69,_uiqV7p3fwM
TO ANSWER CORRECTLY BUT CONCISELY THE,49.469,3.36,_uiqV7p3fwM
CORRECT WAY TO ANSWER THESE TYPES OF,51.6,3.09,_uiqV7p3fwM
QUESTIONS ARE BY LISTING THE SITUATION'S,52.829,4.171,_uiqV7p3fwM
THE ACTIONS AND THE RESULTS YOU WANT TO,54.69,4.32,_uiqV7p3fwM
SET UP THE SITUATION IN ONE TO TWO,57.0,3.809,_uiqV7p3fwM
SENTENCES THEN YOU WANT TO TALK ABOUT,59.01,3.599,_uiqV7p3fwM
THE OBSTACLE AND THE APPS YOU USE TO,60.809,4.201,_uiqV7p3fwM
OVERCOME THAT OBSTACLE LASTLY YOU WANT,62.609,3.931,_uiqV7p3fwM
TO TALK ABOUT THE RESULTS AND HOW YOU,65.01,3.48,_uiqV7p3fwM
RESOLVE THAT SITUATION THEY DON'T NEED,66.54,3.57,_uiqV7p3fwM
TO KNOW EVERY LITTLE DETAIL ABOUT THE,68.49,3.3,_uiqV7p3fwM
SITUATION YOU'RE NOT TALKING TO YOUR,70.11,3.39,_uiqV7p3fwM
FRIENDS THEY JUST NEED TO KNOW THE,71.79,3.48,_uiqV7p3fwM
ESSENTIALS ENOUGH TO UNDERSTAND THE,73.5,5.36,_uiqV7p3fwM
SITUATION AND HOW YOU CAME OUT ON,75.27,3.59,_uiqV7p3fwM
[MUSIC],80.63,3.07,_uiqV7p3fwM
IN THIS VIDEO I AM GOING TO TEACH YOU,0.16,5.119,wexzvClUcUk
HOW TO INTRODUCE YOURSELF DURING A JOB,2.8,3.28,wexzvClUcUk
INTERVIEW,5.279,2.721,wexzvClUcUk
SO IF YOU'VE GOT A JOB INTERVIEW COMING,6.08,4.32,wexzvClUcUk
UP FOR ANY ROLE OR ANY ORGANIZATION,8.0,3.28,wexzvClUcUk
WHATSOEVER,10.4,3.119,wexzvClUcUk
MAKE SURE YOU STAY TUNED BECAUSE I WILL,11.28,3.84,wexzvClUcUk
HELP YOU TO PASS IT AND JUST VERY,13.519,2.16,wexzvClUcUk
QUICKLY,15.12,2.4,wexzvClUcUk
IF YOU ARE NEW TO THIS CHANNEL PLEASE,15.679,3.841,wexzvClUcUk
MAKE SURE YOU HIT THE SUBSCRIBE BUTTON,17.52,4.24,wexzvClUcUk
BECAUSE I'M ON A MISSION TO HELP AS MANY,19.52,3.599,wexzvClUcUk
PEOPLE AS POSSIBLE TO PASS THEIR,21.76,1.92,wexzvClUcUk
INTERVIEWS,23.119,1.92,wexzvClUcUk
AND I CAN ONLY DO THAT IF YOU ARE,23.68,3.599,wexzvClUcUk
SUBSCRIBED AND DON'T FORGET TO HIT THAT,25.039,3.041,wexzvClUcUk
LIKE BUTTON,27.279,3.041,wexzvClUcUk
BECAUSE THAT MOTIVATES ME TO CREATE MORE,28.08,4.08,wexzvClUcUk
CONTENT FOR YOU THANK YOU VERY MUCH,30.32,3.28,wexzvClUcUk
OKAY LET'S GET STRAIGHT INTO THE,32.16,3.36,wexzvClUcUk
TUTORIAL AND I WILL TEACH YOU,33.6,4.16,wexzvClUcUk
HOW TO INTRODUCE YOURSELF DURING A JOB,35.52,4.879,wexzvClUcUk
INTERVIEW SO WITHIN THIS PRESENTATION,37.76,4.72,wexzvClUcUk
I AM GOING TO COVER THREE THINGS FIRST,40.399,4.48,wexzvClUcUk
OF ALL I WILL GIVE YOU SOME ESSENTIAL,42.48,3.04,wexzvClUcUk
TIPS,44.879,2.881,wexzvClUcUk
FOR GETTING YOUR JOB INTERVIEW OFF TO A,45.52,3.359,wexzvClUcUk
FLYING START,47.76,3.52,wexzvClUcUk
I WILL THEN TELL YOU THE FOUR SIMPLE,48.879,4.081,wexzvClUcUk
THINGS YOU MUST INCLUDE,51.28,4.4,wexzvClUcUk
WITHIN YOUR JOB INTERVIEW INTRODUCTION,52.96,4.239,wexzvClUcUk
AND I WILL THEN GIVE YOU,55.68,3.76,wexzvClUcUk
AN EXAMPLE SCRIPTED INTERVIEW,57.199,3.2,wexzvClUcUk
INTRODUCTION,59.44,3.279,wexzvClUcUk
THAT YOU CAN USE AT THE START OF YOUR,60.399,3.121,wexzvClUcUk
INTERVIEW,62.719,2.881,wexzvClUcUk
ESSENTIAL TIP NUMBER ONE FOR GETTING,63.52,3.04,wexzvClUcUk
YOUR INTERVIEW,65.6,3.839,wexzvClUcUk
OFF TO A FLYING START IS TO FOCUS ON,66.56,4.559,wexzvClUcUk
CREATING A POSITIVE,69.439,4.401,wexzvClUcUk
FIRST IMPRESSION AND YOU CAN DO THAT BY,71.119,3.521,wexzvClUcUk
ARRIVING,73.84,3.84,wexzvClUcUk
AT THE INTERVIEW VENUE 20 MINUTES BEFORE,74.64,3.36,wexzvClUcUk
THE,77.68,2.56,wexzvClUcUk
INTERVIEW STARTS THIS SHOWS THAT YOU ARE,78.0,3.04,wexzvClUcUk
PUNCTUAL,80.24,2.72,wexzvClUcUk
AND YOU ARE ORGANIZED NOW WHEN YOU,81.04,3.6,wexzvClUcUk
ARRIVE AT THE INTERVIEW VENUE,82.96,4.4,wexzvClUcUk
MAKE SURE YOU READ YOUR JOB INTERVIEW,84.64,3.68,wexzvClUcUk
INTRODUCTION,87.36,3.439,wexzvClUcUk
WHICH I WILL GIVE TO YOU IN A SECOND AND,88.32,3.04,wexzvClUcUk
ALSO,90.799,3.121,wexzvClUcUk
RE-READ THE JOB DESCRIPTION BECAUSE BY,91.36,4.48,wexzvClUcUk
READING THESE IMPORTANT DOCUMENTS,93.92,4.4,wexzvClUcUk
IT GETS YOU RELAXED AND COMPOSED AND IT,95.84,4.16,wexzvClUcUk
MAKES SURE THAT YOU ARE PREPARED FOR,98.32,2.4,wexzvClUcUk
WHAT'S TO COME,100.0,2.88,wexzvClUcUk
DURING YOUR INTERVIEW ESSENTIAL TIP,100.72,3.12,wexzvClUcUk
NUMBER TWO,102.88,2.8,wexzvClUcUk
FOR GETTING YOUR INTERVIEW OFF TO A,103.84,4.16,wexzvClUcUk
FLYING START IS TO MAKE SURE THAT YOU,105.68,3.04,wexzvClUcUk
DRESS,108.0,4.0,wexzvClUcUk
PROFESSIONALLY HOW YOU DRESS SAYS A LOT,108.72,5.84,wexzvClUcUk
ABOUT YOUR INTENTIONS FOR THIS JOB AND,112.0,4.719,wexzvClUcUk
IF YOU HAVEN'T DRESSED PROFESSIONALLY,114.56,4.08,wexzvClUcUk
WHAT DOES IT SAY TO THE INTERVIEWER WELL,116.719,3.36,wexzvClUcUk
IT TELLS THE INTERVIEWER,118.64,3.28,wexzvClUcUk
THAT YOU DON'T CARE AND YOU CAN'T BE,120.079,3.121,wexzvClUcUk
BOTHERED AND THEREFORE,121.92,3.839,wexzvClUcUk
WHY SHOULD THEY HIRE YOU SO MAKE SURE,123.2,3.279,wexzvClUcUk
YOU DRESS,125.759,2.64,wexzvClUcUk
PROFESSIONALLY FOR YOUR INTERVIEW,126.479,3.681,wexzvClUcUk
BECAUSE IT SAYS AN AWFUL LOT,128.399,4.001,wexzvClUcUk
ABOUT YOUR INTENTIONS FOR THIS ROLE AN,130.16,4.0,wexzvClUcUk
ESSENTIAL TIP NUMBER THREE,132.4,3.44,wexzvClUcUk
IS TO MAKE SURE THAT THROUGHOUT THE,134.16,4.159,wexzvClUcUk
INTERVIEW YOU HAVE GOOD POSTURE,135.84,5.44,wexzvClUcUk
YOU SMILE AND YOU DEMONSTRATE REALLY,138.319,3.761,wexzvClUcUk
GOOD MANNERS,141.28,2.72,wexzvClUcUk
THIS IS IMPORTANT AND HOW CAN YOU,142.08,3.519,wexzvClUcUk
DEMONSTRATE GOOD MANNERS DURING YOUR,144.0,2.16,wexzvClUcUk
INTERVIEW,145.599,2.72,wexzvClUcUk
WELL RIGHT AT THE VERY START WHEN YOU,146.16,4.0,wexzvClUcUk
FIRST MEET THE INTERVIEWER,148.319,4.961,wexzvClUcUk
SAY THIS HI MY NAME IS RICHARD AND I'M,150.16,4.079,wexzvClUcUk
HERE TODAY,153.28,2.959,wexzvClUcUk
FOR THE INTERVIEW THANK YOU VERY MUCH SO,154.239,3.841,wexzvClUcUk
JUST BY SAYING THAT DEMONSTRATES,156.239,3.841,wexzvClUcUk
REALLY GOOD MANNERS AND DON'T FORGET DO,158.08,4.159,wexzvClUcUk
NOT SIT DOWN IN THE INTERVIEW CHAIR,160.08,4.56,wexzvClUcUk
UNTIL INVITED TO DO SO SO ONCE YOU'RE,162.239,4.401,wexzvClUcUk
SAT DOWN IN THE INTERVIEW CHAIR,164.64,3.52,wexzvClUcUk
THE INTERVIEWER IS GOING TO SAY,166.64,4.08,wexzvClUcUk
SOMETHING LIKE WELCOME TO THE INTERVIEW,168.16,4.64,wexzvClUcUk
CAN YOU START OFF BY INTRODUCING,170.72,3.84,wexzvClUcUk
YOURSELF OR THEY MIGHT SAY,172.8,3.84,wexzvClUcUk
TELL ME ABOUT YOURSELF NOW WHENEVER YOU,174.56,3.36,wexzvClUcUk
INTRODUCE YOURSELF,176.64,3.04,wexzvClUcUk
DURING AN INTERVIEW IT'S REALLY,177.92,3.92,wexzvClUcUk
IMPORTANT THAT YOU INCLUDE THE FOLLOWING,179.68,3.839,wexzvClUcUk
FOUR THINGS PLEASE MAKE SURE YOU TAKE,181.84,3.52,wexzvClUcUk
NOTES NUMBER ONE,183.519,4.0,wexzvClUcUk
TALK ABOUT THE SKILLS AND QUALITIES YOU,185.36,3.84,wexzvClUcUk
HAVE THAT ARE A MATCH,187.519,4.241,wexzvClUcUk
FOR THE ROLE YOU ARE APPLYING FOR NUMBER,189.2,3.28,wexzvClUcUk
TWO,191.76,3.28,wexzvClUcUk
TALK ABOUT ANY EXPERIENCE OR,192.48,4.399,wexzvClUcUk
QUALIFICATIONS YOU POSSESS,195.04,4.64,wexzvClUcUk
